id;account_id;payment_form_id;fixed;percentual
262579;1202060;88;0,43;2,22
262563;1202060;3;0,43;5,60
262564;1202060;4;0,43;5,60
262565;1202060;5;0,43;5,60
262566;1202060;6;0,43;5,60
262567;1202060;7;0,43;5,60
262568;1202060;8;0,43;2,22
262569;1202060;10;0,43;2,22
262570;1202060;12;0,43;2,22
262571;1202060;13;0,43;2,22
262572;1202060;21;0,43;2,22
262575;1202060;75;0,43;5,60
262576;1202060;76;0,43;5,60
262577;1202060;82;0,43;5,60
262578;1202060;83;0,43;2,22
262562;1202060;1;0,43;2,22
262536;1196300;101;0,43;2,34
262517;1196300;1;0,43;2,34
262525;1196300;12;0,43;2,34
262532;1196300;82;0,43;5,58
262526;1196300;13;0,43;2,34
262527;1196300;21;0,43;2,34
262531;1196300;76;0,43;5,58
262529;1196300;73;0,43;2,34
262528;1196300;22;0,43;2,34
262524;1196300;10;0,43;2,34
262523;1196300;8;0,43;2,34
262535;1196300;93;0,43;5,58
262534;1196300;88;0,43;2,34
262533;1196300;83;0,43;2,34
262518;1196300;3;0,43;5,58
262519;1196300;4;0,43;5,58
262520;1196300;5;0,43;5,58
262521;1196300;6;0,43;5,58
262522;1196300;7;0,43;5,58
262530;1196300;75;0,43;5,58
262497;1187846;1;0,43;2,11
262509;1187846;73;0,43;2,11
262510;1187846;75;0,43;5,02
262500;1187846;5;0,43;5,02
262511;1187846;76;0,43;5,02
262512;1187846;82;0,43;5,02
262516;1187846;101;0,43;2,11
262513;1187846;83;0,43;2,11
262514;1187846;88;0,43;2,11
262503;1187846;8;0,43;2,11
262508;1187846;22;0,43;2,11
262507;1187846;21;0,43;2,11
262515;1187846;93;0,43;5,02
262498;1187846;3;0,43;5,02
262499;1187846;4;0,43;5,02
262501;1187846;6;0,43;5,02
262502;1187846;7;0,43;5,02
262504;1187846;10;0,43;2,11
262505;1187846;12;0,43;2,11
262506;1187846;13;0,43;2,11
262942;1187057;3;0,43;5,60
262958;1187057;88;0,43;1,90
262948;1187057;10;0,43;1,90
262947;1187057;8;0,43;1,90
262946;1187057;7;0,43;5,60
262945;1187057;6;0,43;5,60
262944;1187057;5;0,43;5,60
262943;1187057;4;0,43;5,60
262950;1187057;13;0,43;1,90
262951;1187057;21;0,43;1,90
262949;1187057;12;0,43;1,90
262957;1187057;83;0,43;1,90
262956;1187057;82;0,43;5,60
262955;1187057;76;0,43;5,60
262954;1187057;75;0,43;5,60
262953;1187057;73;0,43;1,90
262952;1187057;22;0,43;1,90
262941;1187057;1;0,43;1,90
262969;1184963;21;0,43;1,90
262962;1184963;5;0,43;5,60
262959;1184963;1;0,43;1,90
262960;1184963;3;0,43;5,60
262961;1184963;4;0,43;5,60
262963;1184963;6;0,43;5,60
262964;1184963;7;0,43;5,60
262965;1184963;8;0,43;1,90
262966;1184963;10;0,43;1,90
262967;1184963;12;0,43;1,90
262968;1184963;13;0,43;1,90
262976;1184963;88;0,43;1,90
262975;1184963;83;0,43;1,90
262974;1184963;82;0,43;5,60
262973;1184963;76;0,43;5,60
262972;1184963;75;0,43;5,60
262971;1184963;73;0,43;1,90
262970;1184963;22;0,43;1,90
262485;1179104;12;2,24;0,00
262484;1179104;10;2,24;0,00
262483;1179104;8;2,24;0,00
262482;1179104;7;0,43;4,48
262481;1179104;6;0,43;4,48
262480;1179104;5;0,43;4,48
262479;1179104;4;0,43;4,48
262478;1179104;3;0,43;4,48
262477;1179104;1;2,24;0,00
262486;1179104;13;2,24;0,00
262487;1179104;21;2,24;0,00
262496;1179104;101;2,24;0,00
262495;1179104;93;0,43;4,48
262494;1179104;88;2,24;0,00
262493;1179104;83;2,24;0,00
262492;1179104;82;0,43;4,48
262490;1179104;75;0,43;4,48
262489;1179104;73;2,24;0,00
262491;1179104;76;0,43;4,48
262488;1179104;22;2,24;0,00
262452;1175323;101;0,43;2,22
262451;1175323;93;0,43;5,60
262449;1175323;83;0,43;2,22
262448;1175323;82;0,43;5,60
262447;1175323;76;0,43;5,60
262446;1175323;75;0,43;5,60
262439;1175323;8;0,43;2,22
262438;1175323;7;0,43;5,60
262437;1175323;6;0,43;5,60
262436;1175323;5;0,43;5,60
262435;1175323;4;0,43;5,60
262434;1175323;3;0,43;5,60
262433;1175323;1;0,43;2,22
262450;1175323;88;0,43;2,22
262440;1175323;10;0,43;2,22
262441;1175323;12;0,43;2,22
262445;1175323;73;0,43;2,22
262444;1175323;22;0,43;2,22
262443;1175323;21;0,43;2,22
262442;1175323;13;0,43;2,22
262454;1172815;104;0,21;3,34
262453;1172815;103;0,21;3,90
262455;1172815;105;0,21;3,90
262456;1172815;106;0,21;3,34
262302;1165547;21;0,43;4,70
262301;1165547;13;0,43;2,57
262300;1165547;12;0,43;4,70
262299;1165547;10;0,43;4,70
262298;1165547;8;0,43;2,57
262297;1165547;7;0,43;4,70
262296;1165547;6;0,43;4,70
262295;1165547;5;0,43;4,70
262294;1165547;4;0,43;4,70
262293;1165547;3;0,43;4,70
262303;1165547;22;0,43;2,57
262304;1165547;73;0,43;2,57
262310;1165547;93;0,43;4,70
262315;1165547;106;0,43;4,70
262313;1165547;104;0,43;4,70
262312;1165547;103;0,43;4,70
262314;1165547;105;0,43;4,70
262311;1165547;101;0,43;2,57
262305;1165547;75;0,43;4,70
262309;1165547;88;0,43;2,57
262308;1165547;83;0,43;2,57
262307;1165547;82;0,43;4,70
262306;1165547;76;0,43;4,70
262260;1162533;10;2,22;0,00
262261;1162533;12;2,22;0,00
262262;1162533;13;2,22;0,00
262265;1162533;73;2,22;0,00
262253;1162533;1;2,22;0,00
262259;1162533;8;2,22;0,00
262258;1162533;7;0,00;6,26
262257;1162533;6;0,00;6,26
262256;1162533;5;0,00;6,26
262255;1162533;4;0,00;6,26
262254;1162533;3;0,00;6,26
262266;1162533;75;0,00;6,26
262267;1162533;76;0,00;6,26
262268;1162533;82;0,00;6,26
262263;1162533;21;2,22;0,00
262264;1162533;22;2,22;0,00
262272;1162533;101;2,22;0,00
262271;1162533;93;0,00;6,26
262270;1162533;88;2,22;0,00
262269;1162533;83;2,22;0,00
262181;1150426;76;0,43;6,60
262182;1150426;82;0,43;6,60
262180;1150426;75;0,43;6,60
262189;1150426;105;0,43;6,60
262188;1150426;104;0,43;3,24
262187;1150426;103;0,43;6,60
262186;1150426;101;0,43;3,24
262184;1150426;88;0,43;3,24
262183;1150426;83;0,43;3,24
262185;1150426;93;0,43;6,60
262179;1150426;73;0,43;3,24
262178;1150426;22;0,43;3,24
262177;1150426;21;0,43;6,60
262168;1150426;3;0,43;6,60
262169;1150426;4;0,43;6,60
262170;1150426;5;0,43;6,60
262171;1150426;6;0,43;6,60
262173;1150426;8;0,43;3,24
262172;1150426;7;0,43;6,60
262174;1150426;10;0,43;6,60
262175;1150426;12;0,43;6,60
262176;1150426;13;0,43;3,24
262190;1150426;106;0,43;3,24
262114;1139570;10;0,43;2,22
262112;1139570;7;0,32;4,13
262113;1139570;8;0,43;2,22
262115;1139570;12;0,43;2,22
262126;1139570;101;0,75;2,22
262125;1139570;93;0,32;4,13
262124;1139570;88;0,43;2,22
262123;1139570;83;0,43;2,22
262122;1139570;82;0,32;4,13
262121;1139570;76;0,32;4,13
262120;1139570;75;0,32;4,13
262119;1139570;73;0,75;2,22
262118;1139570;22;0,43;2,22
262117;1139570;21;0,43;2,22
262116;1139570;13;0,43;2,22
262111;1139570;6;0,32;4,13
262110;1139570;5;0,32;4,13
262107;1139570;1;0,43;2,22
262108;1139570;3;0,32;4,13
262109;1139570;4;0,32;4,13
262224;1136498;73;0,43;2,8
262219;1136498;6;0,43;7,28
262218;1136498;5;0,43;7,28
262217;1136498;4;0,43;2,8
262216;1136498;3;0,43;7,28
262220;1136498;7;0,43;7,28
262227;1136498;101;0,43;2,8
262225;1136498;75;0,43;7,28
262223;1136498;22;0,43;2,8
262222;1136498;13;0,43;2,8
262221;1136498;8;0,43;2,8
262226;1136498;88;0,43;2,8
262742;1134043;105;0,21;3,68
262743;1134043;106;0,21;2,78
